### 役割
FALSE,Feature,    Compact Server
FALSE,Feature,BitLocker ドライブ暗号化
FALSE,Feature,BitLocker ネットワーク ロック解除
FALSE,Feature,BranchCache
FALSE,Feature,Direct Play
FALSE,Feature,Fabric Management 用の VM シールド ツール
FALSE,Feature,Host Guardian Hyper-V サポート
FALSE,Feature,HTTP プロキシを経由した RPC
FALSE,Feature,I/O サービス品質
FALSE,Feature,IIS ホスト可能な Web コア
FALSE,Feature,IP アドレス管理 (IPAM) サーバー
FALSE,Feature,Linux 用 Windows サブシステム
FALSE,Feature,LPR ポート モニター
FALSE,Feature,Management OData IIS 拡張機能
TRUE,Feature,Microsoft Defender ウイルス対策
FALSE,Feature,MultiPoint Connector
FALSE,Feature,    MultiPoint Connector サービス
FALSE,Feature,    MultiPoint マネージャーおよび MultiPoint ダッシュ ボード
FALSE,Feature,NFS クライアント
FALSE,Feature,RAS 接続マネージャー管理キット (CMAK)
FALSE,Feature,Remote Differential Compression
FALSE,Feature,Simple TCP/IP Services
FALSE,Feature,SMB 1.0/CIFS ファイル共有のサポート
FALSE,Feature,    SMB 1.0/CIFS クライアント
FALSE,Feature,    SMB 1.0/CIFS サーバー
FALSE,Feature,SMB 帯域幅制限
FALSE,Feature,SNMP サービス
FALSE,Feature,    WMI SNMP プロバイダー
FALSE,Feature,Telnet Client
FALSE,Feature,TFTP Client
FALSE,Feature,WebDAV リダイレクター
FALSE,Feature,Windows Identity Foundation 3.5
FALSE,Feature,Windows Internal Database
TRUE,Feature,Windows PowerShell
TRUE,Feature,    Windows PowerShell 5.1
FALSE,Feature,    Windows PowerShell 2.0 エンジン
FALSE,Feature,    Windows PowerShell Desired State Configuration Service
FALSE,Feature,    Windows PowerShell Web Access
FALSE,Feature,Windows Search サービス
FALSE,Feature,Windows Server バックアップ
FALSE,Feature,Windows Server 移行ツール
FALSE,Feature,Windows TIFF IFilter
FALSE,Feature,Windows プロセス アクティブ化サービス
FALSE,Feature,    プロセス モデル
FALSE,Feature,    .NET 環境 3.5
FALSE,Feature,    構成 API
FALSE,Feature,Windows 生体認証フレームワーク
FALSE,Feature,Windows 標準ベースの記憶域の管理
FALSE,Feature,WinRM IIS 拡張機能
FALSE,Feature,WINS サーバー
TRUE,Feature,Wireless LAN Service
TRUE,Feature,WoW64 サポート
TRUE,Feature,XPS Viewer
FALSE,Feature,インターネット印刷クライアント
FALSE,Feature,グループ ポリシーの管理
FALSE,Feature,コンテナー
FALSE,Feature,システム インサイト
TRUE,Feature,システム データ アーカイバー
FALSE,Feature,ストレージ移行サービス
FALSE,Feature,ストレージ移行サービス プロキシ
FALSE,Feature,セットアップおよびブート イベント収集
FALSE,Feature,ソフトウェア ロード バランサー
TRUE,Feature,Windows Admin Center Setup
FALSE,Feature,データ センター ブリッジング
FALSE,Feature,ネットワーク仮想化
FALSE,Feature,ネットワーク負荷分散
FALSE,Feature,フェールオーバー クラスタリング
FALSE,Feature,マルチパス I/O
FALSE,Feature,メッセージ キュー
FALSE,Feature,    メッセージ キュー サービス
FALSE,Feature,        メッセージ キュー サーバー
FALSE,Feature,        HTTP サポート
FALSE,Feature,        ディレクトリ サービス統合
FALSE,Feature,        マルチキャスト サポート
FALSE,Feature,        メッセージ キュー トリガー
FALSE,Feature,        ルーティング サービス
FALSE,Feature,    メッセージ キュー DCOM プロキシ
FALSE,Feature,メディア ファンデーション
FALSE,Feature,リモート アシスタンス
FALSE,Feature,リモート サーバー管理ツール
FALSE,Feature,    機能管理ツール
FALSE,Feature,        BitLocker ドライブ暗号化管理ユーティリティ
FALSE,Feature,            BitLocker ドライブ暗号化ツール
FALSE,Feature,            BitLocker 回復パスワード ビューアー
FALSE,Feature,        BITS サーバー拡張ツール
FALSE,Feature,        DataCenterBridging LLDP ツール
FALSE,Feature,        IP アドレス管理 (IPAM) クライアント
FALSE,Feature,        SNMP ツール
FALSE,Feature,        Windows PowerShell のシステム インサイト モジュール
FALSE,Feature,        Windows PowerShell 用記憶域レプリカ モジュール
FALSE,Feature,        WINS サーバー ツール
FALSE,Feature,        シールドされた VM のツール
FALSE,Feature,        ストレージ移行サービス ツール
FALSE,Feature,        ネットワーク負荷分散ツール
FALSE,Feature,        フェールオーバー クラスタリング ツール
FALSE,Feature,            Windows PowerShell 用のフェールオーバー クラスター モジュール
FALSE,Feature,            フェールオーバー クラスター管理ツール
FALSE,Feature,            フェールオーバー クラスター コマンド インターフェイス
FALSE,Feature,            フェールオーバー クラスター自動化サーバー
FALSE,Feature,    役割管理ツール
FALSE,Feature,        AD DS および AD LDS ツール
FALSE,Feature,            AD DS ツール
FALSE,Feature,                Active Directory 管理センター
FALSE,Feature,                AD DS スナップインおよびコマンドライン ツール
FALSE,Feature,            AD LDS スナップインおよびコマンドライン ツール
FALSE,Feature,            Windows PowerShell の Active Directory モジュール
FALSE,Feature,        Hyper-V 管理ツール
FALSE,Feature,            Hyper-V GUI 管理ツール
FALSE,Feature,            Windows PowerShell 用 Hyper-V モジュール
FALSE,Feature,        Windows Server Update Services ツール
FALSE,Feature,            API と PowerShell コマンドレット
FALSE,Feature,            ユーザー インターフェイス管理コンソール
FALSE,Feature,        リモート デスクトップ サービス ツール
FALSE,Feature,            リモート デスクトップ ゲートウェイ ツール
FALSE,Feature,            リモート デスクトップ ライセンス ツール
FALSE,Feature,            リモート デスクトップ ライセンス診断機能ツール
FALSE,Feature,        Active Directory Rights Management サービス ツール
FALSE,Feature,        Active Directory 証明書サービス ツール
FALSE,Feature,            オンライン レスポンダー ツール
FALSE,Feature,            証明機関管理ツール
FALSE,Feature,        DHCP サーバー ツール
FALSE,Feature,        DNS サーバー ツール
FALSE,Feature,        FAX サーバー ツール
FALSE,Feature,        Windows 展開サービス ツール
FALSE,Feature,        ネットワーク コントローラー管理ツール
FALSE,Feature,        ネットワーク ポリシーとアクセス サービス ツール
FALSE,Feature,        ファイル サービス ツール
FALSE,Feature,            DFS 管理ツール
FALSE,Feature,            ネットワーク ファイル システム管理ツールのサービス
FALSE,Feature,            ファイル サーバー リソース マネージャー ツール
FALSE,Feature,        ボリューム ライセンス認証ツール
FALSE,Feature,        リモート アクセス管理ツール
FALSE,Feature,            Windows PowerShell 用のリモート アクセス モジュール
FALSE,Feature,            リモート アクセス GUI ツールとコマンド ライン ツール
FALSE,Feature,        印刷とドキュメント サービス ツール
FALSE,Feature,拡張記憶域
FALSE,Feature,記憶域レプリカ
FALSE,Feature,高品質な Windows オーディオ ビデオ エクスペリエンス
FALSE,Feature,Network ATC
