#TYPE Selected.Microsoft.Dism.Commands.BasicCapabilityObject
"Name"
"App.StepsRecorder~~~~0.0.1.0"
"AzureArcSetup~~~~"
"Browser.InternetExplorer~~~~0.0.11.0"
"DirectX.Configuration.Database~~~~0.0.1.0"
"Downlevel.NLS.Sorting.Versions.Server~~~~0.0.1.0"
"Language.Basic~~~ja-JP~0.0.1.0"
"Language.Fonts.Jpan~~~und-JPAN~0.0.1.0"
"Language.Handwriting~~~ja-JP~0.0.1.0"
"Language.OCR~~~ja-JP~0.0.1.0"
"Language.Speech~~~ja-JP~0.0.1.0"
"Language.TextToSpeech~~~ja-JP~0.0.1.0"
"MathRecognizer~~~~0.0.1.0"
"Media.WindowsMediaPlayer~~~~0.0.12.0"
"Microsoft.Windows.MSPaint~~~~0.0.1.0"
"Microsoft.Windows.Notepad~~~~0.0.1.0"
"Microsoft.Windows.PowerShell.ISE~~~~0.0.1.0"
"Microsoft.Windows.Sense.Client~~~~"
"Microsoft.Windows.SnippingTool~~~~0.0.1.0"
"OneCoreUAP.OneSync~~~~0.0.1.0"
"OpenSSH.Client~~~~0.0.1.0"
"OpenSSH.Server~~~~0.0.1.0"
"VBSCRIPT~~~~"
"Windows.Kernel.LA57~~~~0.0.1.0"
"XPS.Viewer~~~~0.0.1.0"
